Nombre,Maps
River Plate, Estadio Mâs Monumental, Avenida Presidente Figueroa Alcorta, Buenos Aires
Boca Jrs, Estadio Alberto J. Armando- La Bombonera, Brandsen, Buenos Aires
Independiente, Libertadores de América - Ricardo Enrique Bochini, Ricardo Enrique Bochini, Avellaneda, Provincia de Buenos Aires
Racing, Estadio Presidente Peron, Diego A. Milito, Avellaneda, Provincia de Buenos Aires
San Lorenzo, Estadio Pedro Bidegain, Avenida Perito Moreno, Buenos Aires
Huracan, Estadio Tomás Adolfo Ducó, Avenida Amancio Alcorta, Buenos Aires
Rosario Central, Estadio Gigante de Arroyito, Avenida Génova, Rosario, Provincia de Santa Fe
Newbells, Estadio Marcelo Bielsa, Avenida Intendente Morcillo, Rosario, Provincia de Santa Fe
Estudiantes de La Plata, Estadio UNO Jorge Luis Hirschi, Avenida 1, La Plata, Provincia de Buenos Aires
Gimnasia Esgrima de La Plata, Estadio Juan Carmelo Zerillo, Avenida 60, La Plata, Provincia de Buenos Aires
Talleres de Cordoba, Estadio Mario Alberto Kempes, Av. Cárcano, Chateau Carreras, Provincia de Córdoba
Belgrano de Cordoba, Estadio Julio César Villagra, Arturo Orgaz, Ciudad de Córdoba, Provincia de Córdoba
Colon de Santa Fe, Estadio Brigadier General Estanislao López, Avenida Juan José Paso, Ciudad de Santa Fe, Provincia de Santa Fe
Union de Santa Fe, Estadio 15 de Abril, Avenida López y Planes, Ciudad de Santa Fe, Provincia de Santa Fe
Bandfield, Estadio Florencio Sola, General Arenales, Banfield, Provincia de Buenos Aires
Lanus, Estadio Ciudad de Lanús, Ramón Cabrero, Lanús, Provincia de Buenos Aires
Velez Sarfield, Estadio José Amalfitani, Avenida Juan Bautista Justo, Buenos Aires
Argentinos Jrs, Estadio Diego Armando Maradona, Gavilán, Buenos Aires
Tigre, Estadio José Dellagiovanna, Avenida Presidente Perón, Victoria, Provincia de Buenos Aires
Platense, Estadio Ciudad de Vicente López, Zufriategui, Florida, Provincia de Buenos Aires
